,rY,rC,rI,epr,tfp
1947-03-31,0.015135691427342168,0.07753169208759636,-0.13484328775205512,0.025161304633336212,-0.013722626453975373
1947-06-30,0.005582912845430554,0.09372113114298974,-0.16106398984790904,0.022728371473562214,-0.01727904583164286
1947-09-30,0.008769680531103274,0.07381663879938682,-0.12707323959117833,0.04068034246873875,-0.021431493978919747
1947-12-31,-0.005080448948616589,-0.010242064613516288,0.05221484394854925,0.07216749880411388,-0.05200766296611381
1948-03-31,-0.021253225179387214,-0.0360621665943085,0.034229076126733426,0.0669828448862746,-0.06240095951961944
1948-06-30,-0.024777628699312104,-0.027076104367619425,0.01570085974919877,0.054944757050157,-0.05666017515535837
1948-09-30,-0.0398073124345405,-0.05525120040868692,0.04383293087620577,0.07687357338323064,-0.08250192378317034
1948-12-31,-0.03269646115072933,-0.024043897787986657,0.002284991729569308,0.04412751373659374,-0.05677467939735614
1949-03-31,-0.0719820474032028,-0.0140339075087893,-0.16464606176259156,-0.04822292815205076,-0.038393606737507024
1949-06-30,-0.056705072992934036,-0.01016130392184078,-0.13902994557322812,-0.11638875596759923,0.02548664888944474
1949-09-30,-0.0727335721714879,-0.03954702449991421,-0.128348138500608,-0.16717107132495423,0.04646972452244702
1949-12-31,-0.04383403279940434,-0.01393888904392393,-0.022813996650807966,-0.21970974402462806,0.11890764894234507
1950-03-31,0.0012222471536940116,0.01963649609167306,0.14220274744828854,-0.2054401242161661,0.15685532037041017
1950-06-30,0.07375681031115966,0.05019613474024376,0.3854102455319637,-0.1226609212131875,0.1683703463411672
1950-09-30,0.21708838921717377,0.0533733110398904,1.0127623052937431,-0.028435524367148024,0.2354447725754505
1950-12-31,0.0404728604738529,-0.03661934251472987,0.5125363775611267,0.013994830762358967,0.02414766573525573
1951-03-31,0.031707882189191405,-0.028671359711162636,0.3562386047769788,0.06274338026420134,-0.016760937216047767
1951-06-30,-0.07322873983719524,-0.08759500921323782,-0.06599062271467093,0.0730356077801646,-0.12180423655792572
1951-09-30,-0.03897196164019456,-0.052540838608694296,-0.1410483120960745,0.047080106974795255,-0.07335637723043753
1951-12-31,-0.029005175805033145,-0.06043608750939167,-0.20730490920228495,0.029455610203011684,-0.052077694027903965
1952-03-31,-0.04033628417729895,-0.08378261625241357,-0.19236380155683608,0.03752785887737642,-0.06513763879631362
1952-06-30,0.0016707432102982533,-0.032847104299429386,-0.1654911679243729,0.020834839399988758,-0.011176032091867794
1952-09-30,-0.04722923165749404,-0.0017882935208103357,-0.3729085675936836,0.02468228777942494,-0.057616457224781925
1952-12-31,0.04885651546057801,0.01814408322574157,-0.11583978557939423,0.0971202370084372,-0.005319935469325965
1953-03-31,0.10927061243539327,0.032209310596198026,0.017942967170183177,0.13226715628782015,0.032923830607714644
1953-06-30,0.12450859141366588,0.04505119239024258,0.010878805605889275,0.13774435710702093,0.045226688055024944
1953-09-30,0.06074433607373586,0.014958788601624029,-0.03343122647900376,0.1172846772360503,-0.004009106982880151
1953-12-31,-0.017388469927456907,-0.021311142270202033,-0.13481294495294105,0.04849271641712083,-0.039574453909717144
1954-03-31,-0.06558989222011835,-0.022336387297703486,-0.24424467024894203,-0.0263434208484008,-0.04041968202148438
1954-06-30,-0.08009609886697056,-0.040170169834583436,-0.2270777216389126,-0.07225825790034313,-0.023423095589652054
1954-09-30,-0.07926853229860042,-0.016647283816760505,-0.18231095804818165,-0.10542405901785712,0.0004392145739084974
1954-12-31,-0.03643717335952357,0.01175691045767091,-0.08102981156644584,-0.0977833548310435,0.039833230143035525
1955-03-31,0.00837783812592785,0.024860175202169543,0.1049437438904004,-0.05975935774262331,0.059739505091451095
1955-06-30,0.08103996821694714,0.04564113578945439,0.309199956895414,-0.0008087329003370058,0.09159479330885634
1955-09-30,0.10126286691033481,0.04563834469055772,0.4412711426787328,0.0378400234475631,0.0810981518666376
1955-12-31,0.11563158069309143,0.0952848808674236,0.4040050902155492,0.06445737079244584,0.0726524302802447
1956-03-31,0.09985367323894856,0.10242085839157711,0.2803047434626158,0.09627661510333119,0.03568060210020052
1956-06-30,0.0884203873199827,0.0668084965670559,0.2630288530630782,0.1083095976138666,0.015848211630661968
1956-09-30,0.06503073014595029,0.045883222565689996,0.2291607924995962,0.07886031693530193,0.007960822440929771
1956-12-31,0.08797439817624353,0.052827309716018345,0.2602364780674933,0.09994153534913819,0.013689418717123703
1957-03-31,0.0835815413220955,0.03304201179521127,0.2542792264903133,0.10209129660350458,0.005900597204271607
1957-06-30,0.04991404661680643,0.016478719100790018,0.1692477043443481,0.10005820689705458,-0.025356210554320024
1957-09-30,0.038412015474439176,0.014134092389574748,0.1257476419343606,0.07955238327008296,-0.02558128354742817
1957-12-31,-0.0022167520481352065,-0.008951867320192153,0.03352198056995581,0.02301768324037612,-0.03186881690418675
1958-03-31,-0.1326429082008248,-0.08163810923305881,-0.27073602059489354,-0.06567411254738176,-0.10413340349280586
1958-06-30,-0.14535682842570774,-0.07273190087598624,-0.3577350313643678,-0.13406807703682477,-0.06850233376832393
1958-09-30,-0.1158246672334583,-0.0376167569747482,-0.3153134281051462,-0.12311029645224325,-0.04024528522491355
1958-12-31,-0.04431810946610615,-0.019011928742696194,-0.16020331497731655,-0.08644050861579555,0.011923252000140883
1959-03-31,0.014177647889633826,-0.0010940330028502698,0.035993154447875986,-0.02242344010448638,0.0296805842076322
1959-06-30,0.06100584913388096,0.0198572159258128,0.1629264849198473,0.03909753290665863,0.03693150896721886
1959-09-30,0.06519407852639669,0.027314093446562993,0.17449352982135657,0.0262436905618747,0.047599571882710245
