,tfp
1947-03-31,-0.013722626453975373
1947-06-30,-0.01727904583164286
1947-09-30,-0.021431493978919747
1947-12-31,-0.05200766296611381
1948-03-31,-0.06240095951961944
1948-06-30,-0.05666017515535837
1948-09-30,-0.08250192378317034
1948-12-31,-0.05677467939735614
1949-03-31,-0.038393606737507024
1949-06-30,0.02548664888944474
1949-09-30,0.04646972452244702
1949-12-31,0.11890764894234507
1950-03-31,0.15685532037041017
1950-06-30,0.1683703463411672
1950-09-30,0.2354447725754505
1950-12-31,0.02414766573525573
1951-03-31,-0.016760937216047767
1951-06-30,-0.12180423655792572
1951-09-30,-0.07335637723043753
1951-12-31,-0.052077694027903965
1952-03-31,-0.06513763879631362
1952-06-30,-0.011176032091867794
1952-09-30,-0.057616457224781925
1952-12-31,-0.005319935469325965
1953-03-31,0.032923830607714644
1953-06-30,0.045226688055024944
1953-09-30,-0.004009106982880151
1953-12-31,-0.039574453909717144
1954-03-31,-0.04041968202148438
1954-06-30,-0.023423095589652054
1954-09-30,0.0004392145739084974
1954-12-31,0.039833230143035525
1955-03-31,0.059739505091451095
1955-06-30,0.09159479330885634
1955-09-30,0.0810981518666376
1955-12-31,0.0726524302802447
1956-03-31,0.03568060210020052
1956-06-30,0.015848211630661968
1956-09-30,0.007960822440929771
1956-12-31,0.013689418717123703
1957-03-31,0.005900597204271607
1957-06-30,-0.025356210554320024
1957-09-30,-0.02558128354742817
1957-12-31,-0.03186881690418675
1958-03-31,-0.10413340349280586
1958-06-30,-0.06850233376832393
1958-09-30,-0.04024528522491355
1958-12-31,0.011923252000140883
1959-03-31,0.0296805842076322
1959-06-30,0.03693150896721886
1959-09-30,0.047599571882710245
1959-12-31,-0.001248195699791177
1960-03-31,-0.00951020062659036
1960-06-30,-0.033098548536671935
1960-09-30,-0.05834618013033699
1960-12-31,-0.07310412257146914
1961-03-31,-0.075120391246986
1961-06-30,-0.04013145812837837
1961-09-30,-0.045123810124429675
1961-12-31,0.0014735319810093017
1962-03-31,-6.288254978759067e-05
1962-06-30,-4.147665427722824e-05
1962-09-30,0.0015680307356973344
